roundId,price,startedAt,updatedAt,roundId
9.22E+19,2.61E+11,1645751991,1645751991,9.22E+19
9.22E+19,2.63E+11,1645752363,1645752363,9.22E+19
9.22E+19,2.63E+11,1645754122,1645754122,9.22E+19
9.22E+19,2.64E+11,1645756151,1645756151,9.22E+19
9.22E+19,2.64E+11,1645757850,1645757850,9.22E+19
9.22E+19,2.63E+11,1645759072,1645759072,9.22E+19
9.22E+19,2.61E+11,1645760385,1645760385,9.22E+19
9.22E+19,2.63E+11,1645760803,1645760803,9.22E+19
9.22E+19,2.64E+11,1645761354,1645761354,9.22E+19
9.22E+19,2.64E+11,1645762196,1645762196,9.22E+19
9.22E+19,2.62E+11,1645763926,1645763926,9.22E+19
9.22E+19,2.62E+11,1645764940,1645764940,9.22E+19
9.22E+19,2.61E+11,1645765787,1645765787,9.22E+19
9.22E+19,2.59E+11,1645766241,1645766241,9.22E+19
9.22E+19,2.61E+11,1645766764,1645766764,9.22E+19
9.22E+19,2.62E+11,1645768519,1645768519,9.22E+19
9.22E+19,2.63E+11,1645770225,1645770225,9.22E+19
9.22E+19,2.63E+11,1645772111,1645772111,9.22E+19
9.22E+19,2.62E+11,1645775786,1645775786,9.22E+19
9.22E+19,2.61E+11,1645776010,1645776010,9.22E+19
9.22E+19,2.60E+11,1645777589,1645777589,9.22E+19
9.22E+19,2.61E+11,1645779350,1645779350,9.22E+19
9.22E+19,2.60E+11,1645780223,1645780223,9.22E+19
9.22E+19,2.58E+11,1645781209,1645781209,9.22E+19
9.22E+19,2.60E+11,1645783031,1645783031,9.22E+19
9.22E+19,2.61E+11,1645783257,1645783257,9.22E+19
9.22E+19,2.62E+11,1645786527,1645786527,9.22E+19
9.22E+19,2.63E+11,1645789319,1645789319,9.22E+19
9.22E+19,2.63E+11,1645790136,1645790136,9.22E+19
9.22E+19,2.65E+11,1645790908,1645790908,9.22E+19
9.22E+19,2.66E+11,1645790936,1645790936,9.22E+19
9.22E+19,2.68E+11,1645791094,1645791094,9.22E+19
9.22E+19,2.69E+11,1645793608,1645793608,9.22E+19
9.22E+19,2.70E+11,1645793868,1645793868,9.22E+19
9.22E+19,2.71E+11,1645794618,1645794618,9.22E+19
9.22E+19,2.73E+11,1645796280,1645796280,9.22E+19
9.22E+19,2.72E+11,1645797318,1645797318,9.22E+19
9.22E+19,2.70E+11,1645797901,1645797901,9.22E+19
9.22E+19,2.70E+11,1645801202,1645801202,9.22E+19
9.22E+19,2.70E+11,1645801208,1645801208,9.22E+19
9.22E+19,2.68E+11,1645801381,1645801381,9.22E+19
9.22E+19,2.67E+11,1645801619,1645801619,9.22E+19
9.22E+19,2.68E+11,1645802018,1645802018,9.22E+19
9.22E+19,2.70E+11,1645802585,1645802585,9.22E+19
9.22E+19,2.71E+11,1645804018,1645804018,9.22E+19
9.22E+19,2.72E+11,1645804535,1645804535,9.22E+19
9.22E+19,2.74E+11,1645805050,1645805050,9.22E+19
9.22E+19,2.72E+11,1645806129,1645806129,9.22E+19
9.22E+19,2.72E+11,1645808145,1645808145,9.22E+19
9.22E+19,2.72E+11,1645809052,1645809052,9.22E+19
9.22E+19,2.70E+11,1645809435,1645809435,9.22E+19
9.22E+19,2.72E+11,1645810346,1645810346,9.22E+19
9.22E+19,2.70E+11,1645811551,1645811551,9.22E+19
9.22E+19,2.70E+11,1645811714,1645811714,9.22E+19
9.22E+19,2.68E+11,1645812702,1645812702,9.22E+19
9.22E+19,2.68E+11,1645815317,1645815317,9.22E+19
9.22E+19,2.70E+11,1645817279,1645817279,9.22E+19
9.22E+19,2.68E+11,1645818830,1645818830,9.22E+19
9.22E+19,2.68E+11,1645818902,1645818902,9.22E+19
9.22E+19,2.69E+11,1645820381,1645820381,9.22E+19
9.22E+19,2.71E+11,1645822506,1645822506,9.22E+19
9.22E+19,2.72E+11,1645822610,1645822610,9.22E+19
9.22E+19,2.71E+11,1645826148,1645826148,9.22E+19
9.22E+19,2.72E+11,1645829101,1645829101,9.22E+19
9.22E+19,2.77E+11,1645829538,1645829538,9.22E+19
9.22E+19,2.77E+11,1645829792,1645829792,9.22E+19
9.22E+19,2.78E+11,1645830052,1645830052,9.22E+19
9.22E+19,2.80E+11,1645831491,1645831491,9.22E+19
9.22E+19,2.82E+11,1645831994,1645831994,9.22E+19
9.22E+19,2.79E+11,1645832877,1645832877,9.22E+19
9.22E+19,2.78E+11,1645832964,1645832964,9.22E+19
9.22E+19,2.76E+11,1645833213,1645833213,9.22E+19
9.22E+19,2.76E+11,1645833337,1645833337,9.22E+19
9.22E+19,2.78E+11,1645834110,1645834110,9.22E+19
9.22E+19,2.79E+11,1645836053,1645836053,9.22E+19
9.22E+19,2.81E+11,1645836106,1645836106,9.22E+19
9.22E+19,2.83E+11,1645836134,1645836134,9.22E+19
9.22E+19,2.83E+11,1645837110,1645837110,9.22E+19
9.22E+19,2.83E+11,1645837760,1645837760,9.22E+19
9.22E+19,2.82E+11,1645840510,1645840510,9.22E+19
9.22E+19,2.81E+11,1645844197,1645844197,9.22E+19
9.22E+19,2.80E+11,1645845569,1645845569,9.22E+19
9.22E+19,2.80E+11,1645847733,1645847733,9.22E+19
9.22E+19,2.81E+11,1645849557,1645849557,9.22E+19
9.22E+19,2.82E+11,1645851305,1645851305,9.22E+19
9.22E+19,2.80E+11,1645852901,1645852901,9.22E+19
9.22E+19,2.79E+11,1645853924,1645853924,9.22E+19
9.22E+19,2.78E+11,1645855024,1645855024,9.22E+19
9.22E+19,2.79E+11,1645858545,1645858545,9.22E+19
9.22E+19,2.77E+11,1645859704,1645859704,9.22E+19
9.22E+19,2.78E+11,1645861391,1645861391,9.22E+19
9.22E+19,2.79E+11,1645862111,1645862111,9.22E+19
9.22E+19,2.79E+11,1645862462,1645862462,9.22E+19
9.22E+19,2.79E+11,1645862509,1645862509,9.22E+19
9.22E+19,2.78E+11,1645865328,1645865328,9.22E+19
9.22E+19,2.76E+11,1645865472,1645865472,9.22E+19
9.22E+19,2.76E+11,1645865716,1645865716,9.22E+19
9.22E+19,2.76E+11,1645869345,1645869345,9.22E+19
9.22E+19,2.77E+11,1645872884,1645872884,9.22E+19
9.22E+19,2.77E+11,1645872940,1645872940,9.22E+19
9.22E+19,2.77E+11,1645872952,1645872952,9.22E+19
9.22E+19,2.76E+11,1645874065,1645874065,9.22E+19
9.22E+19,2.76E+11,1645876527,1645876527,9.22E+19
9.22E+19,2.76E+11,1645880169,1645880169,9.22E+19
9.22E+19,2.77E+11,1645881171,1645881171,9.22E+19
9.22E+19,2.77E+11,1645883720,1645883720,9.22E+19
9.22E+19,2.78E+11,1645887320,1645887320,9.22E+19
9.22E+19,2.78E+11,1645887456,1645887456,9.22E+19
9.22E+19,2.78E+11,1645887506,1645887506,9.22E+19
9.22E+19,2.80E+11,1645889901,1645889901,9.22E+19
9.22E+19,2.79E+11,1645890934,1645890934,9.22E+19
9.22E+19,2.79E+11,1645894525,1645894525,9.22E+19
9.22E+19,2.80E+11,1645898134,1645898134,9.22E+19
9.22E+19,2.78E+11,1645899573,1645899573,9.22E+19
9.22E+19,2.79E+11,1645901709,1645901709,9.22E+19
9.22E+19,2.81E+11,1645902412,1645902412,9.22E+19
9.22E+19,2.82E+11,1645903094,1645903094,9.22E+19
9.22E+19,2.82E+11,1645905334,1645905334,9.22E+19
9.22E+19,2.83E+11,1645908906,1645908906,9.22E+19
9.22E+19,2.85E+11,1645910731,1645910731,9.22E+19
9.22E+19,2.83E+11,1645912311,1645912311,9.22E+19
9.22E+19,2.83E+11,1645912540,1645912540,9.22E+19
